Record,Specimen_ID,User_ID,Algorithm_Estimate_mm,Adjusted_Estimate_mm,Hand_Measurement_mm,Algorithm_Total_Error_mm,Adjusted_Total_Error_mm,Algorithm_Percent_Error,Adjusted_Percent_Error,Included
993,93,10,139,139,137,2,2,1.46,1.46,yes
1493,93,15,139,139,137,2,2,1.46,1.46,yes
402,2,5,129.8,121.1,125,4.8,-3.9,3.84,-3.12,no
2293,93,23,139,139,137,2,2,1.46,1.46,yes
2393,93,24,139,139,137,2,2,1.46,1.46,yes
405,5,5,131.1,131.1,126,5.1,5.1,4.05,4.05,no
2493,93,25,139,139,137,2,2,1.46,1.46,yes
407,7,5,137.8,137.8,135,2.8,2.8,2.07,2.07,no
408,8,5,125.6,124.3,120,5.6,4.3,4.67,3.58,no
409,9,5,136.2,125.8,125,11.2,0.8,8.96,0.64,no
410,10,5,122.5,114.1,115,7.5,-0.9,6.52,-0.78,no
411,11,5,142.9,137.4,131,11.9,6.4,9.08,4.89,no
412,12,5,131.2,133.3,130,1.2,3.3,0.92,2.54,no
1993,93,20,139,135.1,137,2,-1.9,1.46,-1.39,yes
1198,98,12,138.8,144,140,-1.2,4,-0.86,2.86,yes
415,15,5,109.2,114.4,102,7.2,12.4,7.06,12.16,no
1798,98,18,138.8,143.3,140,-1.2,3.3,-0.86,2.36,yes
417,17,5,112.9,118.9,111,1.9,7.9,1.71,7.12,no
498,98,5,138.8,142.5,140,-1.2,2.5,-0.86,1.79,yes
419,19,5,135.8,139.5,140,-4.2,-0.5,-3,-0.36,no
420,20,5,131.6,132.1,123,8.6,9.1,6.99,7.4,no
1098,98,11,138.8,142.5,140,-1.2,2.5,-0.86,1.79,yes
1398,98,14,138.8,139.7,140,-1.2,-0.3,-0.86,-0.21,yes
2098,98,21,138.8,139,140,-1.2,-1,-0.86,-0.71,yes
424,24,5,120.1,117.2,109,11.1,8.2,10.18,7.52,no
98,98,1,138.8,138.8,140,-1.2,-1.2,-0.86,-0.86,yes
426,26,5,123.6,116.9,124,-0.4,-7.1,-0.32,-5.73,no
198,98,2,138.8,138.8,140,-1.2,-1.2,-0.86,-0.86,yes
428,28,5,135.8,133,134,1.8,-1,1.34,-0.75,no
398,98,4,138.8,138.8,140,-1.2,-1.2,-0.86,-0.86,yes
430,30,5,121.9,118,118,3.9,0,3.31,0,no
598,98,6,138.8,138.8,140,-1.2,-1.2,-0.86,-0.86,yes
698,98,7,138.8,138.8,140,-1.2,-1.2,-0.86,-0.86,yes
798,98,8,138.8,138.8,140,-1.2,-1.2,-0.86,-0.86,yes
434,34,5,146.4,133.4,130,16.4,3.4,12.62,2.62,no
435,35,5,136.2,139.5,125,11.2,14.5,8.96,11.6,no
1298,98,13,138.8,138.8,140,-1.2,-1.2,-0.86,-0.86,yes
437,37,5,139.9,147.8,145,-5.1,2.8,-3.52,1.93,no
438,38,5,146,138.2,123,23,15.2,18.7,12.36,no
439,39,5,129.2,124.5,120,9.2,4.5,7.67,3.75,no
440,40,5,173.3,159.3,152,21.3,7.3,14.01,4.8,no
1498,98,15,138.8,138.8,140,-1.2,-1.2,-0.86,-0.86,yes
1698,98,17,138.8,138.8,140,-1.2,-1.2,-0.86,-0.86,yes
443,43,5,117.2,115,112,5.2,3,4.64,2.68,no
444,44,5,157.5,162,145,12.5,17,8.62,11.72,no
445,45,5,141.1,148,146,-4.9,2,-3.36,1.37,no
446,46,5,113.1,110.2,110,3.1,0.2,2.82,0.18,no
447,47,5,135.2,137.4,135,0.2,2.4,0.15,1.78,no
1998,98,20,138.8,138.8,140,-1.2,-1.2,-0.86,-0.86,yes
2198,98,22,138.8,138.8,140,-1.2,-1.2,-0.86,-0.86,yes
450,50,5,122.2,129.3,120,2.2,9.3,1.83,7.75,no
451,51,5,122.4,117.8,115,7.4,2.8,6.43,2.43,no
2298,98,23,138.8,138.8,140,-1.2,-1.2,-0.86,-0.86,yes
453,53,5,132,144.9,130,2,14.9,1.54,11.46,no
454,54,5,138,138.4,130,8,8.4,6.15,6.46,no
455,55,5,130.3,132.8,130,0.3,2.8,0.23,2.15,no
2398,98,24,138.8,138.8,140,-1.2,-1.2,-0.86,-0.86,yes
457,57,5,130.3,126.1,115,15.3,11.1,13.3,9.65,no
458,58,5,128.7,131.6,125,3.7,6.6,2.96,5.28,no
459,59,5,125.2,123.8,123,2.2,0.8,1.79,0.65,no
460,60,5,133.7,133.7,130,3.7,3.7,2.85,2.85,no
461,61,5,133.7,128.3,125,8.7,3.3,6.96,2.64,no
462,62,5,122.4,129.5,126,-3.6,3.5,-2.86,2.78,no
463,63,5,127.9,117.6,115,12.9,2.6,11.22,2.26,no
2498,98,25,138.8,138.8,140,-1.2,-1.2,-0.86,-0.86,yes
898,98,9,138.8,137.6,140,-1.2,-2.4,-0.86,-1.71,yes
998,98,10,138.8,137.6,140,-1.2,-2.4,-0.86,-1.71,yes
467,67,5,125.5,121.5,123,2.5,-1.5,2.03,-1.22,no
1898,98,19,138.8,133.8,140,-1.2,-6.2,-0.86,-4.43,yes
469,69,5,523.6,128.4,120,403.6,8.4,336.33,7,no
470,70,5,141,142.3,140,1,2.3,0.71,1.64,no
471,71,5,151.1,162.9,147,4.1,15.9,2.79,10.82,no
472,72,5,205.9,199.5,147,58.9,52.5,40.07,35.71,no
473,73,5,280.5,145.6,137,143.5,8.6,104.74,6.28,no
474,74,5,229.3,144.7,146,83.3,-1.3,57.05,-0.89,no
475,75,5,146.6,121.3,110,36.6,11.3,33.27,10.27,no
476,76,5,153.7,141.8,126,27.7,15.8,21.98,12.54,no
477,77,5,677.7,125,155,522.7,-30,337.23,-19.35,no
478,78,5,148.6,130.9,128,20.6,2.9,16.09,2.27,no
479,79,5,139.1,130.4,129,10.1,1.4,7.83,1.09,no
480,80,5,152.6,136.1,128,24.6,8.1,19.22,6.33,no
481,81,5,195.4,129.4,120,75.4,9.4,62.83,7.83,no
482,82,5,165,164.8,165,0,-0.2,0,-0.12,no
483,83,5,750.4,140.5,130,620.4,10.5,477.23,8.08,no
854,54,9,138,130.9,130,8,0.9,6.15,0.69,yes
954,54,10,138,130.9,130,8,0.9,6.15,0.69,yes
654,54,7,138,130.5,130,8,0.5,6.15,0.38,yes
354,54,4,138,128.1,130,8,-1.9,6.15,-1.46,yes
488,88,5,123.9,126.5,163,-39.1,-36.5,-23.99,-22.39,no
489,89,5,554.3,129.1,120,434.3,9.1,361.92,7.58,no
490,90,5,1319.8,166.1,156,1163.8,10.1,746.03,6.47,no
491,91,5,117.3,116.3,118,-0.7,-1.7,-0.59,-1.44,no
492,92,5,135.3,135.9,147,-11.7,-11.1,-7.96,-7.55,no
2307,7,24,137.8,140.8,135,2.8,5.8,2.07,4.3,yes
494,94,5,132,122.3,128,4,-5.7,3.13,-4.45,no
495,95,5,558.3,129.8,128,430.3,1.8,336.17,1.41,no
496,96,5,128.2,127.7,125,3.2,2.7,2.56,2.16,no
1107,7,12,137.8,140.2,135,2.8,5.2,2.07,3.85,yes
1807,7,19,137.8,140,135,2.8,5,2.07,3.7,yes
499,99,5,124.7,126,115,9.7,11,8.43,9.57,no
507,7,6,137.8,138.6,135,2.8,3.6,2.07,2.67,yes
707,7,8,137.8,137.8,135,2.8,2.8,2.07,2.07,yes
502,2,6,129.8,136.9,125,4.8,11.9,3.84,9.52,no
2107,7,22,137.8,137.8,135,2.8,2.8,2.07,2.07,yes
2207,7,23,137.8,137.4,135,2.8,2.4,2.07,1.78,yes
1407,7,15,137.8,137,135,2.8,2,2.07,1.48,yes
807,7,9,137.8,136.8,135,2.8,1.8,2.07,1.33,yes
907,7,10,137.8,136.8,135,2.8,1.8,2.07,1.33,yes
2007,7,21,137.8,136.5,135,2.8,1.5,2.07,1.11,yes
509,9,6,136.2,119.1,125,11.2,-5.9,8.96,-4.72,no
510,10,6,122.5,115.3,115,7.5,0.3,6.52,0.26,no
511,11,6,142.9,135.8,131,11.9,4.8,9.08,3.66,no
107,7,2,137.8,135.7,135,2.8,0.7,2.07,0.52,yes
7,7,1,137.8,134.6,135,2.8,-0.4,2.07,-0.3,yes
607,7,7,137.8,134.6,135,2.8,-0.4,2.07,-0.3,yes
2407,7,25,137.8,134.5,135,2.8,-0.5,2.07,-0.37,yes
1007,7,11,137.8,133.8,135,2.8,-1.2,2.07,-0.89,yes
517,17,6,112.9,114,111,1.9,3,1.71,2.7,no
307,7,4,137.8,133.6,135,2.8,-1.4,2.07,-1.04,yes
519,19,6,135.8,136,140,-4.2,-4,-3,-2.86,no
520,20,6,131.6,130.5,123,8.6,7.5,6.99,6.1,no
1307,7,14,137.8,133,135,2.8,-2,2.07,-1.48,yes
1707,7,18,137.8,130.8,135,2.8,-4.2,2.07,-3.11,yes
1907,7,20,137.8,129.9,135,2.8,-5.1,2.07,-3.78,yes
524,24,6,120.1,115.3,109,11.1,6.3,10.18,5.78,no
733,33,8,137.3,140.8,133,4.3,7.8,3.23,5.86,yes
526,26,6,123.6,114.3,124,-0.4,-9.7,-0.32,-7.82,no
433,33,5,137.3,140.1,133,4.3,7.1,3.23,5.34,yes
1133,33,12,137.3,139.6,133,4.3,6.6,3.23,4.96,yes
633,33,7,137.3,137.3,133,4.3,4.3,3.23,3.23,yes
530,30,6,121.9,124.9,118,3.9,6.9,3.31,5.85,no
1433,33,15,137.3,137.3,133,4.3,4.3,3.23,3.23,yes
1833,33,19,137.3,137.3,133,4.3,4.3,3.23,3.23,yes
533,33,6,137.3,136.7,133,4.3,3.7,3.23,2.78,no
534,34,6,146.4,137.7,130,16.4,7.7,12.62,5.92,no
535,35,6,136.2,127.6,125,11.2,2.6,8.96,2.08,no
2133,33,22,137.3,137.3,133,4.3,4.3,3.23,3.23,yes
2233,33,23,137.3,137.3,133,4.3,4.3,3.23,3.23,yes
538,38,6,146,135.8,123,23,12.8,18.7,10.41,no
539,39,6,129.2,126.6,120,9.2,6.6,7.67,5.5,no
540,40,6,173.3,161.9,152,21.3,9.9,14.01,6.51,no
541,41,6,135.8,135.2,135,0.8,0.2,0.59,0.15,no
542,42,6,121.7,121.7,120,1.7,1.7,1.42,1.42,no
543,43,6,117.2,114.9,112,5.2,2.9,4.64,2.59,no
544,44,6,157.5,159.7,145,12.5,14.7,8.62,10.14,no
545,45,6,141.1,141.1,146,-4.9,-4.9,-3.36,-3.36,no
2333,33,24,137.3,137.3,133,4.3,4.3,3.23,3.23,yes
1733,33,18,137.3,136.2,133,4.3,3.2,3.23,2.41,yes
1033,33,11,137.3,135.8,133,4.3,2.8,3.23,2.11,yes
333,33,4,137.3,135.2,133,4.3,2.2,3.23,1.65,yes
550,50,6,122.2,123.3,120,2.2,3.3,1.83,2.75,no
551,51,6,122.4,124,115,7.4,9,6.43,7.83,no
1333,33,14,137.3,135.1,133,4.3,2.1,3.23,1.58,yes
553,53,6,132,133.4,130,2,3.4,1.54,2.62,no
554,54,6,138,136.2,130,8,6.2,6.15,4.77,no
555,55,6,130.3,134,130,0.3,4,0.23,3.08,no
2033,33,21,137.3,134.2,133,4.3,1.2,3.23,0.9,yes
557,57,6,130.3,129.8,115,15.3,14.8,13.3,12.87,no
558,58,6,128.7,132,125,3.7,7,2.96,5.6,no
1933,33,20,137.3,132.1,133,4.3,-0.9,3.23,-0.68,yes
2433,33,25,137.3,129.4,133,4.3,-3.6,3.23,-2.71,yes
561,61,6,133.7,131.4,125,8.7,6.4,6.96,5.12,no
562,62,6,122.4,125.5,126,-3.6,-0.5,-2.86,-0.4,no
563,63,6,127.9,117.3,115,12.9,2.3,11.22,2,no
833,33,9,137.3,123.5,133,4.3,-9.5,3.23,-7.14,yes
933,33,10,137.3,123.5,133,4.3,-9.5,3.23,-7.14,yes
86,86,1,137.1,137.1,138,-0.9,-0.9,-0.65,-0.65,yes
186,86,2,137.1,137.1,138,-0.9,-0.9,-0.65,-0.65,yes
286,86,3,137.1,137.1,138,-0.9,-0.9,-0.65,-0.65,yes
569,69,6,523.6,120.2,120,403.6,0.2,336.33,0.17,no
570,70,6,141,140.3,140,1,0.3,0.71,0.21,no
571,71,6,151.1,152.1,147,4.1,5.1,2.79,3.47,no
572,72,6,205.9,139.6,147,58.9,-7.4,40.07,-5.03,no
573,73,6,280.5,147.1,137,143.5,10.1,104.74,7.37,no
574,74,6,229.3,149.7,146,83.3,3.7,57.05,2.53,no
386,86,4,137.1,137.1,138,-0.9,-0.9,-0.65,-0.65,yes
576,76,6,153.7,151.6,126,27.7,25.6,21.98,20.32,no
577,77,6,677.7,132.1,155,522.7,-22.9,337.23,-14.77,no
578,78,6,148.6,125.3,128,20.6,-2.7,16.09,-2.11,no
579,79,6,139.1,139.9,129,10.1,10.9,7.83,8.45,no
486,86,5,137.1,137.1,138,-0.9,-0.9,-0.65,-0.65,yes
581,81,6,195.4,129.7,120,75.4,9.7,62.83,8.08,no
582,82,6,165,160.6,165,0,-4.4,0,-2.67,no
583,83,6,750.4,137.7,130,620.4,7.7,477.23,5.92,no
586,86,6,137.1,137.1,138,-0.9,-0.9,-0.65,-0.65,yes
686,86,7,137.1,137.1,138,-0.9,-0.9,-0.65,-0.65,yes
786,86,8,137.1,137.1,138,-0.9,-0.9,-0.65,-0.65,yes
1086,86,11,137.1,137.1,138,-0.9,-0.9,-0.65,-0.65,yes
588,88,6,123.9,126.5,163,-39.1,-36.5,-23.99,-22.39,no
589,89,6,554.3,131.4,120,434.3,11.4,361.92,9.5,no
590,90,6,1319.8,158.6,156,1163.8,2.6,746.03,1.67,no
1186,86,12,137.1,137.1,138,-0.9,-0.9,-0.65,-0.65,yes
592,92,6,135.3,138.9,147,-11.7,-8.1,-7.96,-5.51,no
1286,86,13,137.1,137.1,138,-0.9,-0.9,-0.65,-0.65,yes
594,94,6,132,121.5,128,4,-6.5,3.13,-5.08,no
595,95,6,558.3,129,128,430.3,1,336.17,0.78,no
596,96,6,128.2,127.6,125,3.2,2.6,2.56,2.08,no
1486,86,15,137.1,137.1,138,-0.9,-0.9,-0.65,-0.65,yes
1686,86,17,137.1,137.1,138,-0.9,-0.9,-0.65,-0.65,yes
599,99,6,124.7,123.8,115,9.7,8.8,8.43,7.65,no
1786,86,18,137.1,137.1,138,-0.9,-0.9,-0.65,-0.65,yes
1986,86,20,137.1,137.1,138,-0.9,-0.9,-0.65,-0.65,yes
2086,86,21,137.1,137.1,138,-0.9,-0.9,-0.65,-0.65,yes
2186,86,22,137.1,137.1,138,-0.9,-0.9,-0.65,-0.65,yes
2286,86,23,137.1,137.1,138,-0.9,-0.9,-0.65,-0.65,yes
2386,86,24,137.1,137.1,138,-0.9,-0.9,-0.65,-0.65,yes
2486,86,25,137.1,137.1,138,-0.9,-0.9,-0.65,-0.65,yes
1886,86,19,137.1,137,138,-0.9,-1,-0.65,-0.72,yes
1586,86,16,137.1,132.7,138,-0.9,-5.3,-0.65,-3.84,yes
609,9,7,136.2,122.1,125,11.2,-2.9,8.96,-2.32,no
610,10,7,122.5,114.2,115,7.5,-0.8,6.52,-0.7,no
611,11,7,142.9,130.2,131,11.9,-0.8,9.08,-0.61,no
1386,86,14,137.1,129.9,138,-0.9,-8.1,-0.65,-5.87,yes
886,86,9,137.1,121.5,138,-0.9,-16.5,-0.65,-11.96,yes
986,86,10,137.1,121.5,138,-0.9,-16.5,-0.65,-11.96,yes
1835,35,19,136.2,139,125,11.2,14,8.96,11.2,yes
1035,35,11,136.2,137.4,125,11.2,12.4,8.96,9.92,yes
335,35,4,136.2,131.1,125,11.2,6.1,8.96,4.88,yes
1335,35,14,136.2,129,125,11.2,4,8.96,3.2,yes
619,19,7,135.8,133.4,140,-4.2,-6.6,-3,-4.71,no
635,35,7,136.2,128.6,125,11.2,3.6,8.96,2.88,yes
935,35,10,136.2,127.9,125,11.2,2.9,8.96,2.32,yes
1509,9,16,136.2,118.8,125,11.2,-6.2,8.96,-4.96,yes
209,9,3,136.2,117.3,125,11.2,-7.7,8.96,-6.16,yes
624,24,7,120.1,112.2,109,11.1,3.2,10.18,2.94,no
1119,19,12,135.8,128.8,140,-4.2,-11.2,-3,-8,yes
626,26,7,123.6,115.7,124,-0.4,-8.3,-0.32,-6.69,no
819,19,9,135.8,128.7,140,-4.2,-11.3,-3,-8.07,yes
919,19,10,135.8,128.7,140,-4.2,-11.3,-3,-8.07,yes
1141,41,12,135.8,137.8,135,0.8,2.8,0.59,2.07,yes
630,30,7,121.9,110.3,118,3.9,-7.7,3.31,-6.53,no
441,41,5,135.8,136.5,135,0.8,1.5,0.59,1.11,yes
1341,41,14,135.8,136.3,135,0.8,1.3,0.59,0.96,yes
41,41,1,135.8,135.8,135,0.8,0.8,0.59,0.59,yes
634,34,7,146.4,126.3,130,16.4,-3.7,12.62,-2.85,no
141,41,2,135.8,135.8,135,0.8,0.8,0.59,0.59,yes
241,41,3,135.8,135.8,135,0.8,0.8,0.59,0.59,yes
341,41,4,135.8,135.8,135,0.8,0.8,0.59,0.59,yes
638,38,7,146,133.8,123,23,10.8,18.7,8.78,no
639,39,7,129.2,118.3,120,9.2,-1.7,7.67,-1.42,no
641,41,7,135.8,135.8,135,0.8,0.8,0.59,0.59,yes
741,41,8,135.8,135.8,135,0.8,0.8,0.59,0.59,yes
1241,41,13,135.8,135.8,135,0.8,0.8,0.59,0.59,yes
1441,41,15,135.8,135.8,135,0.8,0.8,0.59,0.59,yes
1641,41,17,135.8,135.8,135,0.8,0.8,0.59,0.59,yes
1741,41,18,135.8,135.8,135,0.8,0.8,0.59,0.59,yes
1941,41,20,135.8,135.8,135,0.8,0.8,0.59,0.59,yes
2141,41,22,135.8,135.8,135,0.8,0.8,0.59,0.59,yes
2241,41,23,135.8,135.8,135,0.8,0.8,0.59,0.59,yes
2341,41,24,135.8,135.8,135,0.8,0.8,0.59,0.59,yes
2441,41,25,135.8,135.8,135,0.8,0.8,0.59,0.59,yes
1841,41,19,135.8,135.5,135,0.8,0.5,0.59,0.37,yes
1041,41,11,135.8,134.6,135,0.8,-0.4,0.59,-0.3,yes
1541,41,16,135.8,118.3,135,0.8,-16.7,0.59,-12.37,yes
228,28,3,135.8,135.8,134,1.8,1.8,1.34,1.34,yes
728,28,8,135.8,135.8,134,1.8,1.8,1.34,1.34,yes
1428,28,15,135.8,135.8,134,1.8,1.8,1.34,1.34,yes
1728,28,18,135.8,135.8,134,1.8,1.8,1.34,1.34,yes
1828,28,19,135.8,135.8,134,1.8,1.8,1.34,1.34,yes
2128,28,22,135.8,135.8,134,1.8,1.8,1.34,1.34,yes
2428,28,25,135.8,135.8,134,1.8,1.8,1.34,1.34,yes
661,61,7,133.7,127.4,125,8.7,2.4,6.96,1.92,no
2028,28,21,135.8,135.2,134,1.8,1.2,1.34,0.9,yes
663,63,7,127.9,116,115,12.9,1,11.22,0.87,no
2328,28,24,135.8,132.6,134,1.8,-1.4,1.34,-1.04,yes
28,28,1,135.8,132.5,134,1.8,-1.5,1.34,-1.12,yes
528,28,6,135.8,132,134,1.8,-2,1.34,-1.49,yes
1028,28,11,135.8,131.8,134,1.8,-2.2,1.34,-1.64,yes
328,28,4,135.8,131.1,134,1.8,-2.9,1.34,-2.16,yes
669,69,7,523.6,117.5,120,403.6,-2.5,336.33,-2.08,no
1928,28,20,135.8,130.5,134,1.8,-3.5,1.34,-2.61,yes
671,71,7,151.1,151.1,147,4.1,4.1,2.79,2.79,no
672,72,7,205.9,154.5,147,58.9,7.5,40.07,5.1,no
673,73,7,280.5,149.3,137,143.5,12.3,104.74,8.98,no
674,74,7,229.3,153.3,146,83.3,7.3,57.05,5,no
628,28,7,135.8,130.4,134,1.8,-3.6,1.34,-2.69,yes
676,76,7,153.7,141.7,126,27.7,15.7,21.98,12.46,no
677,77,7,677.7,131.2,155,522.7,-23.8,337.23,-15.35,no
678,78,7,148.6,141.9,128,20.6,13.9,16.09,10.86,no
2228,28,23,135.8,129.9,134,1.8,-4.1,1.34,-3.06,yes
1328,28,14,135.8,129.8,134,1.8,-4.2,1.34,-3.13,yes
681,81,7,195.4,127.1,120,75.4,7.1,62.83,5.92,no
128,28,2,135.8,129.4,134,1.8,-4.6,1.34,-3.43,yes
683,83,7,750.4,140.7,130,620.4,10.7,477.23,8.23,no
1228,28,13,135.8,129.4,134,1.8,-4.6,1.34,-3.43,yes
1628,28,17,135.8,129.4,134,1.8,-4.6,1.34,-3.43,yes
1528,28,16,135.8,126.7,134,1.8,-7.3,1.34,-5.45,yes
928,28,10,135.8,117.7,134,1.8,-16.3,1.34,-12.16,yes
828,28,9,135.8,117.3,134,1.8,-16.7,1.34,-12.46,yes
689,89,7,554.3,132.5,120,434.3,12.5,361.92,10.42,no
690,90,7,1319.8,172.1,156,1163.8,16.1,746.03,10.32,no
1892,92,19,135.3,142.3,147,-11.7,-4.7,-7.96,-3.2,yes
692,92,7,135.3,124.8,147,-11.7,-22.2,-7.96,-15.1,no
792,92,8,135.3,135.3,147,-11.7,-11.7,-7.96,-7.96,yes
694,94,7,132,112.8,128,4,-15.2,3.13,-11.88,no
695,95,7,558.3,134.7,128,430.3,6.7,336.17,5.23,no
1792,92,18,135.3,131.1,147,-11.7,-15.9,-7.96,-10.82,yes
892,92,9,135.3,130,147,-11.7,-17,-7.96,-11.56,yes
1984,84,20,135.3,138.6,138,-2.7,0.6,-1.96,0.43,yes
84,84,1,135.3,135.3,138,-2.7,-2.7,-1.96,-1.96,yes
184,84,2,135.3,135.3,138,-2.7,-2.7,-1.96,-1.96,yes
284,84,3,135.3,135.3,138,-2.7,-2.7,-1.96,-1.96,yes
384,84,4,135.3,135.3,138,-2.7,-2.7,-1.96,-1.96,yes
484,84,5,135.3,135.3,138,-2.7,-2.7,-1.96,-1.96,yes
584,84,6,135.3,135.3,138,-2.7,-2.7,-1.96,-1.96,yes
684,84,7,135.3,135.3,138,-2.7,-2.7,-1.96,-1.96,yes
784,84,8,135.3,135.3,138,-2.7,-2.7,-1.96,-1.96,yes
1084,84,11,135.3,135.3,138,-2.7,-2.7,-1.96,-1.96,yes
1184,84,12,135.3,135.3,138,-2.7,-2.7,-1.96,-1.96,yes
709,9,8,136.2,132.6,125,11.2,7.6,8.96,6.08,no
710,10,8,122.5,114.6,115,7.5,-0.4,6.52,-0.35,no
711,11,8,142.9,135.5,131,11.9,4.5,9.08,3.44,no
1284,84,13,135.3,135.3,138,-2.7,-2.7,-1.96,-1.96,yes
1384,84,14,135.3,135.3,138,-2.7,-2.7,-1.96,-1.96,yes
1484,84,15,135.3,135.3,138,-2.7,-2.7,-1.96,-1.96,yes
1684,84,17,135.3,135.3,138,-2.7,-2.7,-1.96,-1.96,yes
1784,84,18,135.3,135.3,138,-2.7,-2.7,-1.96,-1.96,yes
2084,84,21,135.3,135.3,138,-2.7,-2.7,-1.96,-1.96,yes
2184,84,22,135.3,135.3,138,-2.7,-2.7,-1.96,-1.96,yes
719,19,8,135.8,135.8,140,-4.2,-4.2,-3,-3,no
2284,84,23,135.3,135.3,138,-2.7,-2.7,-1.96,-1.96,yes
2384,84,24,135.3,135.3,138,-2.7,-2.7,-1.96,-1.96,yes
2484,84,25,135.3,135.3,138,-2.7,-2.7,-1.96,-1.96,yes
1584,84,16,135.3,125.4,138,-2.7,-12.6,-1.96,-9.13,yes
724,24,8,120.1,111.1,109,11.1,2.1,10.18,1.93,no
884,84,9,135.3,113.4,138,-2.7,-24.6,-1.96,-17.83,yes
726,26,8,123.6,114.3,124,-0.4,-9.7,-0.32,-7.82,no
984,84,10,135.3,113.4,138,-2.7,-24.6,-1.96,-17.83,yes
2347,47,24,135.2,137,135,0.2,2,0.15,1.48,yes
2047,47,21,135.2,136.1,135,0.2,1.1,0.15,0.81,yes
730,30,8,121.9,117.8,118,3.9,-0.2,3.31,-0.17,no
1847,47,19,135.2,135.8,135,0.2,0.8,0.15,0.59,yes
1147,47,12,135.2,135.5,135,0.2,0.5,0.15,0.37,yes
47,47,1,135.2,135.2,135,0.2,0.2,0.15,0.15,yes
547,47,6,135.2,135.2,135,0.2,0.2,0.15,0.15,yes
735,35,8,136.2,126.3,125,11.2,1.3,8.96,1.04,no
647,47,7,135.2,135.2,135,0.2,0.2,0.15,0.15,yes
1447,47,15,135.2,135.2,135,0.2,0.2,0.15,0.15,yes
738,38,8,146,134.8,123,23,11.8,18.7,9.59,no
1947,47,20,135.2,135.2,135,0.2,0.2,0.15,0.15,yes
740,40,8,173.3,161.9,152,21.3,9.9,14.01,6.51,no
2147,47,22,135.2,135.2,135,0.2,0.2,0.15,0.15,yes
2247,47,23,135.2,135.2,135,0.2,0.2,0.15,0.15,yes
743,43,8,117.2,116.3,112,5.2,4.3,4.64,3.84,no
2447,47,25,135.2,135.2,135,0.2,0.2,0.15,0.15,yes
1747,47,18,135.2,134.9,135,0.2,-0.1,0.15,-0.07,yes
747,47,8,135.2,134,135,0.2,-1,0.15,-0.74,yes
1247,47,13,135.2,134,135,0.2,-1,0.15,-0.74,yes
1647,47,17,135.2,134,135,0.2,-1,0.15,-0.74,yes
347,47,4,135.2,132,135,0.2,-3,0.15,-2.22,yes
147,47,2,135.2,131.6,135,0.2,-3.4,0.15,-2.52,yes
1347,47,14,135.2,130.9,135,0.2,-4.1,0.15,-3.04,yes
1547,47,16,135.2,129.1,135,0.2,-5.9,0.15,-4.37,yes
847,47,9,135.2,114,135,0.2,-21,0.15,-15.56,yes
754,54,8,138,136.8,130,8,6.8,6.15,5.23,no
947,47,10,135.2,114,135,0.2,-21,0.15,-15.56,yes
1260,60,13,133.7,136.2,130,3.7,6.2,2.85,4.77,yes
1660,60,17,133.7,136.2,130,3.7,6.2,2.85,4.77,yes
1060,60,11,133.7,135,130,3.7,5,2.85,3.85,yes
2060,60,21,133.7,134.7,130,3.7,4.7,2.85,3.62,yes
60,60,1,133.7,133.7,130,3.7,3.7,2.85,2.85,yes
260,60,3,133.7,133.7,130,3.7,3.7,2.85,2.85,yes
360,60,4,133.7,133.7,130,3.7,3.7,2.85,2.85,yes
763,63,8,127.9,119.7,115,12.9,4.7,11.22,4.09,no
560,60,6,133.7,133.7,130,3.7,3.7,2.85,2.85,yes
660,60,7,133.7,133.7,130,3.7,3.7,2.85,2.85,yes
1460,60,15,133.7,133.7,130,3.7,3.7,2.85,2.85,yes
1760,60,18,133.7,133.7,130,3.7,3.7,2.85,2.85,yes
1860,60,19,133.7,133.7,130,3.7,3.7,2.85,2.85,yes
769,69,8,523.6,120,120,403.6,0,336.33,0,no
1960,60,20,133.7,133.7,130,3.7,3.7,2.85,2.85,yes
2360,60,24,133.7,133.7,130,3.7,3.7,2.85,2.85,yes
772,72,8,205.9,145.8,147,58.9,-1.2,40.07,-0.82,no
773,73,8,280.5,133.8,137,143.5,-3.2,104.74,-2.34,no
774,74,8,229.3,139.3,146,83.3,-6.7,57.05,-4.59,no
775,75,8,146.6,117.9,110,36.6,7.9,33.27,7.18,no
776,76,8,153.7,148.9,126,27.7,22.9,21.98,18.17,no
777,77,8,677.7,134.5,155,522.7,-20.5,337.23,-13.23,no
778,78,8,148.6,130.4,128,20.6,2.4,16.09,1.88,no
779,79,8,139.1,126.8,129,10.1,-2.2,7.83,-1.71,no
780,80,8,152.6,123.4,128,24.6,-4.6,19.22,-3.59,no
2460,60,25,133.7,133.7,130,3.7,3.7,2.85,2.85,yes
782,82,8,165,174.8,165,0,9.8,0,5.94,no
783,83,8,750.4,135.7,130,620.4,5.7,477.23,4.38,no
160,60,2,133.7,133.4,130,3.7,3.4,2.85,2.62,yes
760,60,8,133.7,132.8,130,3.7,2.8,2.85,2.15,yes
1360,60,14,133.7,132.5,130,3.7,2.5,2.85,1.92,yes
1560,60,16,133.7,130.3,130,3.7,0.3,2.85,0.23,yes
788,88,8,123.9,132.8,163,-39.1,-30.2,-23.99,-18.53,no
860,60,9,133.7,124.1,130,3.7,-5.9,2.85,-4.54,yes
